Short Name,Title,Ages,Genders,PA Type,PA Measurement,Factor,Factor Measurement,Tested,Positive,Negative,Notes
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,POI Availability,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Intersection density,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Walking amentities,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Aesthetics,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Traffic Safety,self-report,1,0,0,
Aibar 2015,"Effect of weather, school transport, and perceived neighborhood characteristics on moderate to vigorous physical activity levels of adolescents from two european cities",14.33 (0.73),All,MVPA,accelerometer,Crime Safety,self-report,1,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,walking,self-report,Walkability Index,GIS,3,1,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,MVPA,self-report,Walkability Index,GIS,3,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,organized sports,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-16,All,other PA,self-report,Walkability Index,GIS,3,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,walking,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,MVPA,self-report,Walkability Index,GIS,5,3,0,Found significant relationships only in urban children
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,organized sports,self-report,Walkability Index,GIS,12,2,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",8-12,All,other PA,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,walking,self-report,Walkability Index,GIS,6,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,MVPA,self-report,Walkability Index,GIS,5,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,organized sports,self-report,Walkability Index,GIS,12,0,0,
Aznar 2024,"Walkability and socio-economic status in relation to walking, playing and sports practice in a representative Spanish sample of youth: The PASOS study",13-16,All,other PA,self-report,Walkability Index,GIS,6,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Boys,light PA,accelerometer,Walkability Index,GIS; audit,2,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Boys,MVPA,accelerometer,Walkability Index,GIS; audit,2,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Girls,light PA,accelerometer,Walkability Index,GIS; audit,2,0,0,
Bird 2022,Associations of neighborhood walkability with moderate to vigorous physical activity: an application of compositional data analysis comparing compositional and non-compositional approaches,8-10,Girls,MVPA,accelerometer,Walkability Index,GIS; audit,2,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Recreation Density,GIS,5,2,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Intersection density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Transit density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Residential density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Land use diversity,GIS,1,0,1,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Walkability Index,GIS,2,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-9,All,MVPA,accelerometer,Moveability Index,GIS,3,3,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Recreation Density,GIS,5,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Intersection density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Transit density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Residential density,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Walkability Index,GIS,2,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,2-6,All,MVPA,accelerometer,Moveability Index,GIS,3,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Recreation Density,GIS,5,2,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Intersection density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Transit density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Residential density,GIS,1,1,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Walkability Index,GIS,2,0,0,
Buck 2015,Objective Measures of the Built Environment and Physical Activity in Children: From Walkability to Moveability,6-9,All,MVPA,accelerometer,Moveability Index,GIS,3,3,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,MVPA,accelerometer,Moveability Index,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,MVPA,accelerometer,Recreation Density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,MVPA,accelerometer,Residential density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,MVPA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,MVPA,accelerometer,Street Connectivity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,MVPA,accelerometer,Transit density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,MVPA,accelerometer,Moveability Index,GIS,1,1,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,MVPA,accelerometer,Recreation Density,GIS,1,1,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,MVPA,accelerometer,Residential density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,MVPA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,MVPA,accelerometer,Street Connectivity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,MVPA,accelerometer,Transit density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,light PA,accelerometer,Moveability Index,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,light PA,accelerometer,Recreation Density,GIS,1,1,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,light PA,accelerometer,Residential density,GIS,1,0,1,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,light PA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,light PA,accelerometer,Street Connectivity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Boys,light PA,accelerometer,Transit density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,light PA,accelerometer,Moveability Index,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,light PA,accelerometer,Recreation Density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,light PA,accelerometer,Residential density,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,light PA,accelerometer,Land use diversity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,light PA,accelerometer,Street Connectivity,GIS,1,0,0,
Buck 2019,Urban Moveability and physical activity in children: longitudinal results from the IDEFICS and I.Family cohort,3-15,Girls,light PA,accelerometer,Transit density,GIS,1,0,0,
Bucko 2021,Walkability indices and children's walking behavior in rural vs. urban areas,10.3 (0.5),All,walking,self-report,Walkability Index,GIS,18,0,1,
Bucko 2021,Walkability indices and children's walking behavior in rural vs. urban areas,10.3 (0.5),All,total PA,accelerometer,Walkability Index,GIS,9,0,2,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Residential density,Audit,2,0,2,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,POI Availability,Audit,8,0,5,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Recreation Density,Audit,4,1,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Transit density,Audit,2,0,2,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Walking amenities,Audit,10,0,2,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Aesthetics,Audit,10,6,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Traffic Safety,Audit,16,2,1,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Cul-de-sacs,Audit,2,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Accessibility,Audit,4,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,PA near home,parent-report,Pedestrian friendliness,Audit,6,2,1,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Residential density,Audit,2,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,POI Availability,Audit,8,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Recreation Density,Audit,4,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Transit density,Audit,2,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Walking amenities,Audit,10,0,2,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Aesthetics,Audit,10,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Traffic Safety,Audit,16,0,6,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Accessibility,Audit,4,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Cul-de-sacs,Audit,2,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,PA near home,self-report,Pedestrian friendliness,Audit,6,0,4,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Residential density,Audit,2,0,0,"Children wore accelerometers, parents filled log saying their location"
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,POI Availability,Audit,8,1,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Recreation Density,Audit,4,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Transit density,Audit,2,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Walking amenities,Audit,10,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Aesthetics,Audit,10,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Traffic Safety,Audit,16,6,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Cul-de-sacs,Audit,2,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Accessibility,Audit,4,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA in neighborhood,accelerometer; parent-report,Pedestrian friendliness,Audit,6,6,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Residential density,Audit,2,0,0,school time excluded
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,POI Availability,Audit,8,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Recreation Density,Audit,4,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Transit density,Audit,2,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Walking amenities,Audit,10,1,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Aesthetics,Audit,10,1,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Traffic Safety,Audit,16,0,2,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Accessibility,Audit,4,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Cul-de-sacs,Audit,2,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),9.1 (1.6),All,MVPA,accelerometer,Pedestrian friendliness,Audit,6,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Residential density,Audit,2,0,0,school time excluded
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,POI Availability,Audit,8,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Recreation Density,Audit,4,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Transit density,Audit,2,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Walking amenities,Audit,10,1,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Aesthetics,Audit,10,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Traffic Safety,Audit,16,0,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Accessibility,Audit,4,1,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Cul-de-sacs,Audit,2,2,0,
Cain 2014,Contribution of streetscape audits to explanation of physical activity in four age groups based on the Microscale Audit of Pedestrian Streetscapes (MAPS),14.1 (1.4),All,MVPA,accelerometer,Pedestrian friendliness,Audit,6,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Residential density,Audit,1,0,1,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,POI Availability,Audit,4,0,3,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Recreation Density,Audit,2,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Transit density,Audit,1,0,1,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Walking amenities,Audit,3,1,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Aesthetics,Audit,4,3,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Traffic Safety,Audit,5,1,1,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Cul-de-sacs,Audit,1,1,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,PA near home,parent-report,Pedestrian friendliness,Audit,2,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Residential density,Audit,1,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,POI Availability,Audit,4,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Recreation Density,Audit,2,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Transit density,Audit,1,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Walking amenities,Audit,3,0,1,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Aesthetics,Audit,4,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Traffic Safety,Audit,5,0,3,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Cul-de-sacs,Audit,1,1,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,PA near home,self-report,Pedestrian friendliness,Audit,2,0,2,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Residential density,Audit,1,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,POI Availability,Audit,4,2,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Recreation Density,Audit,2,1,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Transit density,Audit,1,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Walking amenities,Audit,3,1,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Aesthetics,Audit,4,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Traffic Safety,Audit,5,1,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Cul-de-sacs,Audit,1,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),9.1 (1.6),All,MVPA,accelerometer,Pedestrian friendliness,Audit,2,2,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,MVPA,accelerometer,Residential density,Audit,1,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,MVPA,accelerometer,POI Availability,Audit,4,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,MVPA,accelerometer,Recreation Density,Audit,2,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,MVPA,accelerometer,Transit density,Audit,1,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,MVPA,accelerometer,Walking amenities,Audit,3,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,MVPA,accelerometer,Aesthetics,Audit,4,0,0,
Cain 2017,Developing and validating an abbreviated version of the microscale audit for pedestrian streetscapes (MAPS-abbreviated),14.1 (1.4),All,MVPA,accelerometer,Traffic Safety,Audit,5,1,0,
