Key,Short Name,Publication Year,Author,Title,Publication Title,Date,Study,Measure(s) of Walkability,ATS?,PA Type,MVPA?,Other PA,Other transport,Measure of PA,Ages,Sample Size,Country,Finding,Other Notes,Effect on ATS,Effect on PA,Consensus,Include?,Reason,
8NZBA6NM,Caetano 2021,2021,"Caetano, Isabella Toledo; Neves Miranda, Valter Paulo; dos Santos, Fernanda Karina; dos Santos Amorim, Paulo Roberto",Adolescent's movement behaviors and built environment: a latent class analysis,BMC PUBLIC HEALTH,10/25/21,,NEWS-Y,,,,LPA (accelerometer),,,15.37 (0.57),309,Brazil,Adolescents in best perceived environment were less liekly to have adequate LPA time than adolescents in worst perceived environment.,,-,Negative,Negative,No,"LCA, not direct associations",
TD62L6FQ,Kerr 2006,2006,"Kerr, J; Rosenberg, D; Sallis, JF; Saelens, BE; Frank, LD; Conway, TL",Active commuting to school: Associations with environment and parental concerns,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,2006-04,Neighborhood Quality of Life Study,Stratified based on Frank including retail; NEWS (parent),parent report,,,,,,18-Apr,259,USA,High neighborhood walkability was significantly related with increased odds of an active commute to school. Many items on NEWS were also related. The interaction between walkability and income and walkability and parental concern was also significant. ,,Positive,-,Positive,No,ATS only,
NJ3LS995,D'Haese 2011,2011,"D'Haese, Sara; De Meester, Femke; De Bourdeaudhuij, Ilse; Deforche, Benedicte; Cardon, Greet",Criterion distances and environmental correlates of active commuting to school in children,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,8/10/11,,NEWS-Y (parent report),parent report,,,,,,12-Nov,696,Belgium,Only perceived accessibility by the parents was positively associated with active commuting to school.,,Mixed,-,Mixed,No,ATS only,
68APT3HX,Rosenberg 2009,2009,"Rosenberg, Dori; Ding, Ding; Sallis, James F.; Kerr, Jacqueline; Norman, Gregory J.; Durant, Nefertiti; Harris, Sion K.; Saelens, Brian E.",Neighborhood Environment Walkability Scale for Youth (NEWS-Y): reliability and relationship with physical activity,Preventive Medicine,2009,,NEWS-Y,No,location-based PA; total PA,,Total PA (self report); Total PA (parent report),,Total PA (self-report); Total PA (parent-report),18-May,287,USA,Low agreement between parent and adolescent reports on the NEWS-Y. Generally positive relationship between NEWS-Y and activity in neighborhood.,,-,Positive,Positive,yes,Does not include MVPA,
428F8X4B,Molina-García 2017,2017,"Molina-García, Javier; Queralt, Ana",Neighborhood Built Environment and Socioeconomic Status in Relation to Active Commuting to School in Children,,10/1/17,IPEN Adolescent Study,Stratified based on Frank excluding retail,self report,,,,,,12-Oct,310,Spain,"Walkability in the home neighborhood was associated with ATS, but not in the school neighborhood. ",,Positive,-,Positive,No,ATS only,
NCI3JGRI,Ross 2018,2018,"Ross, Sharon E. Taverno; Clennin, Morgan N.; Dowda, Marsha; Colabianchi, Natalie; Pate, Russell R.",Stepping it up: Walking behaviors in children transitioning from 5th to 7th grade,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2018-02,TRACK,Walk Score,,walking for exercise,,Walking for exercise,Walking for exercise (self report); Walking for transport (self report),,10.5 (0.6),586,USA,Girls with a higher Walk Score had higher odds of walking for transportation than girls with a lower Walk Score. No significant relationship was found between walking behavior and Walk Score for boys or for the combined group.,,-,-,Mixed,yes,Does not include MVPA,
INPVZU2R,Barnett 2019,2019,"Barnett, A.; Akram, M.; Sit, CH.; Mellecker, R.; Carver, A.; Cerin, E.",Predictors of healthier and more sustainable school travel mode profiles among Hong Kong adolescents,The international journal of behavioral nutrition and physical activity,2019,,NEWS-Y (parent report),self report,,,,,,14.70 (1.57),1299,Hong Kong,No clear relationship reported between walkability and ATS,Hong Kong is most walkable city in Asia. Most students walked sometimes.,Neutral,,,No,ATS only,
WCMULF45,Barnett 2019,2019,"Barnett, A.; Sit, CHP.; Mellecker, RR.; Cerin, E.","Associations of socio-demographic, perceived environmental, social and psychological factors with active travel in Hong Kong adolescents: the iHealt(H) cross-sectional study",Journal of transport & health,2019,,NEWS-Y (parent report),self report,,,,self report to other destinations,,14.70 (1.57),1299,Hong Kong,Accessibility of places was significantly associated with AT to destinations other than school,,,,,No,Active travel only,
3Z3RQNUN,Borner 2018,2018,"Borner, KB.; Mitchell, TB.; Carlson, JA.; Kerr, J.; Saelens, BE.; Schipperijn, J.; Frank, LD.; Conway, TL.; Glanz, K.; Chapman, JE.; Cain, KL.; Sallis, JF.",Latent profile analysis of young adolescents' physical activity across locations on schooldays,Journal of transport & health,2018,Teen Environment and Neighborhood study,Novel,self report,,accelerometer,,,,14.12 (1.44),528,USA,No significant differences were found in walkability between the different profiles in analysis,ATS was used as an independent variable,,Neutral,,No,"LCA, not direct associations",
3E84V643,Bosch 2020,2020,"Bosch, Lander S. M. M.; Wells, Jonathan C. K.; Lum, Sooky; Reid, Alice M.",Associations of the objective built environment along the route to school with children's modes of commuting: A multilevel modelling analysis (the SLIC study),PLOS ONE,4/9/20,Size and Lung function In Children study,Novel,self report; parent report,,,,,,11-May,1889,UK,"The lowest quintile of walkability crossed was significantly related to higher odds of ATS, but not for most walkable vs least walkable.",,Mixed,-,,No,ATS only,
